"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.0976,6,-0.0782,0.4544,-0.039,-0.61,0.547,0.98,0.9761,0.215,0.011,0.672,-0.0039
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.402,6,-0.4081,0.2676,-0.215,-0.74,0.392,0.98,0.9472,0.168,-0.042,0.615,-0.0328
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.2571,6,0.3206,0.6826,0.165,-0.437,0.706,0.98,0.9906,0.3,0.028,0.758,0.0106
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.4286,6,0.4462,0.7525,0.238,-0.37,0.755,0.98,0.9934,0.341,0.037,0.792,0.0134
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4286,6,-0.3696,0.289,-0.193,-0.725,0.412,0.98,0.9522,0.173,0.001,0.621,-0.0278
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.3479,6,0.3626,0.7062,0.189,-0.416,0.722,0.98,0.9916,0.312,0.03,0.769,0.0116
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.2777,6,0.2498,0.6426,0.127,-0.471,0.678,0.98,0.9888,0.281,0.024,0.741,0.0088
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.4638,6,0.5048,0.7844,0.276,-0.335,0.779,0.98,0.9944,0.364,0.042,0.809,0.0144
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.3719,6,-0.2919,0.3325,-0.149,-0.694,0.451,0.98,0.9607,0.184,0.004,0.634,-0.0193
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.3714,6,-0.3186,0.3175,-0.164,-0.705,0.438,0.98,0.958,0.18,0.003,0.63,-0.022
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.2942,6,-0.2707,0.3445,-0.138,-0.686,0.461,0.98,0.9627,0.187,0.005,0.638,-0.0173
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0,6,0,0.4994,0,-0.579,0.579,0.5,0.5,-0.001,-0.579,0.579,0
