"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,150,0.9972,0.8787,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,200,0.9981,0.9126,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,300,0.999,0.9526,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,500,0.9997,0.9849,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,6,0.9876,0.6192,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,8,0.9894,0.6546,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,10,0.9907,0.6848,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,12,0.9918,0.7109,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,15,0.9931,0.7442,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,20,0.9946,0.7882,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,25,0.9956,0.8224,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,30,0.9964,0.8497,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,40,0.9975,0.8903,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,50,0.9982,0.9186,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,60,0.9987,0.9389,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,80,0.9993,0.9648,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,100,0.9996,0.9793,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,150,0.9999,0.9942,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,200,1,0.9983,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,300,1,0.9998,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,500,1,1,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,6,0.9425,0.2504,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,8,0.9194,0.1887,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,10,0.891,0.1429,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,12,0.8568,0.1087,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,15,0.7939,0.0729,30,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,20,0.6605,0.0382,30,20
