"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",-0.4201,6,-0.3474,0.3014,-0.18,-0.716,0.424,0.4867,0.3389,-0.091,-0.559,0.3,-0.1477
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.3354,6,-0.3429,0.3039,-0.178,-0.714,0.426,0.4867,0.3409,-0.089,-0.557,0.301,-0.1458
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.21,6,0.282,0.6608,0.144,-0.456,0.69,0.4867,0.6043,0.063,-0.31,0.527,0.1176
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.3674,6,0.4141,0.7348,0.219,-0.388,0.743,0.4867,0.6633,0.097,-0.276,0.599,0.1767
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.207,6,-0.2794,0.3396,-0.143,-0.689,0.457,0.4867,0.3675,-0.075,-0.523,0.318,-0.1191
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.533,6,-0.5647,0.1829,-0.317,-0.804,0.295,0.4867,0.2444,-0.153,-0.692,0.238,-0.2423
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0,6,-0,0.4994,0,-0.579,0.579,0.6847,0.6912,0.1,-0.342,0.422,0.0065
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0,6,-0,0.4994,0,-0.579,0.579,0.6847,0.6912,0.1,-0.342,0.422,0.0065
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.8281,6,0.8113,0.9384,0.549,-0.045,0.912,0.6847,0.9388,0.312,-0.056,0.773,0.2542
"A4","A4 · torus mandibularis","A4 torus mandibularis","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0,6,-0.0031,0.4976,-0.002,-0.58,0.577,0.6847,0.6899,0.1,-0.343,0.421,0.0053
