"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,40,0.9352,0.715,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,50,0.943,0.7407,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,60,0.9495,0.7627,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,80,0.9598,0.7987,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,100,0.9674,0.8273,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,150,0.9795,0.8787,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,200,0.9863,0.9126,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,300,0.9933,0.9526,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,500,0.9981,0.9849,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,6,0.9086,0.6192,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,8,0.9222,0.6546,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,10,0.9329,0.6848,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,12,0.9415,0.7109,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,15,0.9513,0.7442,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,20,0.9628,0.7882,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,25,0.9706,0.8224,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,30,0.9763,0.8497,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,40,0.984,0.8903,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,50,0.9888,0.9186,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,60,0.992,0.9389,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,80,0.9958,0.9648,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,100,0.9977,0.9793,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,150,0.9994,0.9942,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,200,0.9998,0.9983,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,300,1,0.9998,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_INDEX","Siker-index",0.2088,500,1,1,,80
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,6,0.6029,0.2504,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,8,0.4876,0.1887,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,10,0.3816,0.1429,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,12,0.2917,0.1087,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,15,0.1902,0.0729,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,20,0.0912,0.0382,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,25,0.044,0.0204,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,30,0.0216,0.011,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,40,0.0055,0.0033,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,50,0.0015,0.001,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,60,4e-4,3e-4,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,80,0,0,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,100,0,0,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,150,0,0,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,200,0,0,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,300,0,0,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_MAI","MAI",-0.4393,500,0,0,8,20
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,6,0.8977,0.5947,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,8,0.9095,0.6233,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,10,0.919,0.648,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,12,0.9268,0.6697,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,15,0.9361,0.6979,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,20,0.9476,0.7364,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,25,0.9559,0.7674,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,30,0.9622,0.7933,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,40,0.9716,0.8341,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,50,0.9781,0.865,,150
"A11","A11 szájfenék ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1658,60,0.9828,0.8891,,150
